date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:16	1591/1591	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202025%2023:18:15%20GMT	https://luntria.pages.dev/robots.txt		(from )
15:18:16	3625/3625	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202025%2023:18:16%20GMT	https://luntria.pages.dev/	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/index.html	(from )
15:18:16	2368/2368	---M--	200	added ('OK')	text/html	etag:%22cf34c6bb3a7c3da4dbd2c0c98eb3faac%22	https://luntria.pages.dev/poop_files/css2	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/poop_files/css2.html	(from https://luntria.pages.dev/)
15:18:16	1760/1760	---MCZ	200	added ('OK')	text/css	etag:W/%22ffd5a177da083fad71972183d39b2653%22	https://luntria.pages.dev/poop_files/styles.css	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/poop_files/styles.css	(from https://luntria.pages.dev/)
15:18:17	651443/651443	---M--	200	added ('OK')	image/png	etag:%227f8b4a989bc6096981df87de73f1011b%22	https://luntria.pages.dev/poop_files/5AbVjt.png	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/poop_files/5AbVjt.png	(from https://luntria.pages.dev/)
15:18:17	3080528/3080528	---M--	200	added ('OK')	image/gif	etag:%22123e3e4c15ae2773cff28a9c08e0a513%22	https://luntria.pages.dev/poop_files/B2eiCA.gif	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/poop_files/B2eiCA.gif	(from https://luntria.pages.dev/)
15:18:17	77258/77258	---M--	200	added ('OK')	image/png	etag:%22d71a881aa65d6d238c412aa1446e442b%22	https://luntria.pages.dev/poop_files/+rj6jJ.png	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/poop_files/+rj6jJ.png	(from https://luntria.pages.dev/)
15:18:17	398044/398044	---M--	200	added ('OK')	image/png	etag:%22186333e1727aefe683bd99339295bc19%22	https://luntria.pages.dev/poop_files/MKUowI.png	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/poop_files/MKUowI.png	(from https://luntria.pages.dev/)
15:18:18	90587/90587	---M--	200	added ('OK')	image/png	etag:%22acf4d4ce9611757b7ad73bf1068a8b91%22	https://luntria.pages.dev/poop_files/zj+ppV.png	C:/Users/Administrator/Downloads/Lytria/luntria.pages.dev/poop_files/zj+ppV.png	(from https://luntria.pages.dev/)
15:18:18	101387/101387	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202025%2001:15:07%20GMT	https://img.itch.zone/aW1hZ2UvMzE2NDUyMi8xODg5ODI4OS5wbmc=/347x500/5qrqGy.png	C:/Users/Administrator/Downloads/Lytria/img.itch.zone/aW1hZ2UvMzE2NDUyMi8xODg5ODI4OS5wbmc=/347x500/5qrqGy.png	(from https://luntria.pages.dev/poop_files/styles.css)
